index,Data,Arquivo,Origem,Destino,Num_viagens,Tempo com chuva (min),Nós com chuva,Tempo ponderado com chuva (min)
11,15/01/2013,h_1242000.tif,73976,76682,0.0,538.8588923999974,857,116677.2541490085
11,15/01/2013,h_1242000.tif,73976,100654,0.0,538.8588923999974,857,116677.2541490085
11,15/01/2013,h_1242000.tif,73976,85975,0.0,538.8588923999974,857,116677.2541490085
11,15/01/2013,h_1242000.tif,73976,13735,0.0,538.8588923999974,857,116677.2541490085
11,15/01/2013,h_1242000.tif,73976,28900,0.0,538.8588923999974,857,116677.2541490085
11,15/01/2013,h_1242000.tif,73976,30047,871.2063329222574,339.3907547999989,284,295679.37491702405
11,15/01/2013,h_1242000.tif,73976,94707,0.0,339.3907547999989,284,295679.37491702405
11,15/01/2013,h_1242000.tif,73976,100907,0.0,339.3907547999989,284,295679.37491702405
11,15/01/2013,h_1242000.tif,73976,111928,0.0,339.3907547999989,284,295679.37491702405
11,15/01/2013,h_1242000.tif,73976,69371,0.0,339.3907547999989,284,295679.37491702405
11,15/01/2013,h_1242000.tif,73976,63277,0.0,339.3907547999989,284,295679.37491702405
11,15/01/2013,h_1242000.tif,73976,75323,0.0,339.3907547999989,284,295679.37491702405
11,15/01/2013,h_1242000.tif,73976,66851,238.51059174139675,756.5360693999987,1075,180441.86558630408
11,15/01/2013,h_1242000.tif,73976,67368,0.0,756.5360693999987,1075,180441.86558630408
11,15/01/2013,h_1242000.tif,73976,61825,0.0,756.5360693999987,1075,180441.86558630408
11,15/01/2013,h_1242000.tif,73976,88083,0.0,756.5360693999987,1075,180441.86558630408
11,15/01/2013,h_1242000.tif,73976,109234,0.0,756.5360693999987,1075,180441.86558630408
11,15/01/2013,h_1242000.tif,73976,5692,0.0,756.5360693999987,1075,180441.86558630408
11,15/01/2013,h_1242000.tif,73976,25887,0.0,756.5360693999987,1075,180441.86558630408
11,15/01/2013,h_1242000.tif,73976,21124,0.0,756.5360693999987,1075,180441.86558630408
11,15/01/2013,h_1242000.tif,73976,92375,0.0,756.5360693999987,1075,180441.86558630408
11,15/01/2013,h_1242000.tif,73976,10845,374.82573531034393,701.8520762999975,997,263072.2205782382
11,15/01/2013,h_1242000.tif,73976,60630,0.0,701.8520762999975,997,263072.2205782382
11,15/01/2013,h_1242000.tif,73976,93673,456.5385838305332,419.1913838999998,581,191377.04075966726
11,15/01/2013,h_1242000.tif,73976,70823,459.113766499396,509.2226420999988,592,233791.12520130433
11,15/01/2013,h_1242000.tif,73976,64348,1494.2146236583094,409.2130490999987,677,611452.1221570239
11,15/01/2013,h_1242000.tif,73976,64037,1377.869724261574,503.07364109999907,806,693169.9391457217
11,15/01/2013,h_1242000.tif,73976,25051,3187.061345801963,359.26866719999794,342,1145011.281990903
11,15/01/2013,h_1242000.tif,73976,73054,1052.600604660697,441.9638906999981,544,465211.45858901215
11,15/01/2013,h_1242000.tif,73976,7827,61.61427448576313,inf,1102,inf
11,15/01/2013,h_1242000.tif,73976,82717,0.0,inf,1102,inf
11,15/01/2013,h_1242000.tif,73976,62269,0.0,inf,1102,inf
11,15/01/2013,h_1242000.tif,73976,82934,0.0,inf,1102,inf
11,15/01/2013,h_1242000.tif,73976,83513,0.0,inf,1102,inf
11,15/01/2013,h_1242000.tif,73976,80947,0.0,inf,1102,inf
11,15/01/2013,h_1242000.tif,73976,81264,0.0,inf,1102,inf
11,15/01/2013,h_1242000.tif,73976,80499,0.0,inf,1102,inf
11,15/01/2013,h_1242000.tif,73976,79864,0.0,inf,1102,inf
11,15/01/2013,h_1242000.tif,73976,67601,0.0,inf,1102,inf
11,15/01/2013,h_1242000.tif,73976,78456,0.0,inf,1102,inf
11,15/01/2013,h_1242000.tif,73976,60992,0.0,inf,1102,inf
11,15/01/2013,h_1242000.tif,73976,99358,0.0,inf,1102,inf
11,15/01/2013,h_1242000.tif,73976,23115,0.0,inf,1102,inf
11,15/01/2013,h_1242000.tif,73976,37563,0.0,inf,1102,inf
11,15/01/2013,h_1242000.tif,73976,28043,189.25267339215645,1063.611431999998,1767,201291.30695645945
11,15/01/2013,h_1242000.tif,73976,36547,0.0,1063.611431999998,1767,201291.30695645945
11,15/01/2013,h_1242000.tif,73976,46649,0.0,1063.611431999998,1767,201291.30695645945
11,15/01/2013,h_1242000.tif,73976,39248,0.0,1063.611431999998,1767,201291.30695645945
11,15/01/2013,h_1242000.tif,73976,23372,296.1202887242923,959.9884067999888,1621,284272.0441935861
11,15/01/2013,h_1242000.tif,73976,40741,0.0,959.9884067999888,1621,284272.0441935861
11,15/01/2013,h_1242000.tif,73976,38028,0.0,959.9884067999888,1621,284272.0441935861
11,15/01/2013,h_1242000.tif,73976,17036,0.0,959.9884067999888,1621,284272.0441935861
11,15/01/2013,h_1242000.tif,73976,24772,0.0,959.9884067999888,1621,284272.0441935861
11,15/01/2013,h_1242000.tif,73976,8143,0.0,959.9884067999888,1621,284272.0441935861
11,15/01/2013,h_1242000.tif,73976,60158,0.0,959.9884067999888,1621,284272.0441935861
11,15/01/2013,h_1242000.tif,64037,77307,0.0,959.9884067999888,1621,284272.0441935861
11,15/01/2013,h_1242000.tif,64037,99226,0.0,959.9884067999888,1621,284272.0441935861
11,15/01/2013,h_1242000.tif,64037,93519,0.0,959.9884067999888,1621,284272.0441935861
11,15/01/2013,h_1242000.tif,64037,1545,72.04649336995755,497.5656170999982,1179,35847.85793351385
11,15/01/2013,h_1242000.tif,64037,2548,0.0,497.5656170999982,1179,35847.85793351385
11,15/01/2013,h_1242000.tif,64037,110651,0.0,497.5656170999982,1179,35847.85793351385
11,15/01/2013,h_1242000.tif,64037,12440,0.0,497.5656170999982,1179,35847.85793351385
11,15/01/2013,h_1242000.tif,64037,76682,0.0,497.5656170999982,1179,35847.85793351385
11,15/01/2013,h_1242000.tif,64037,100654,0.0,497.5656170999982,1179,35847.85793351385
11,15/01/2013,h_1242000.tif,64037,85975,0.0,497.5656170999982,1179,35847.85793351385
11,15/01/2013,h_1242000.tif,64037,13735,0.0,497.5656170999982,1179,35847.85793351385
11,15/01/2013,h_1242000.tif,64037,93863,0.0,497.5656170999982,1179,35847.85793351385
11,15/01/2013,h_1242000.tif,64037,28900,0.0,497.5656170999982,1179,35847.85793351385
11,15/01/2013,h_1242000.tif,64037,30047,243.50094234668217,410.1248393999978,767,99865.78487368116
11,15/01/2013,h_1242000.tif,64037,94707,0.0,410.1248393999978,767,99865.78487368116
11,15/01/2013,h_1242000.tif,64037,100907,0.0,410.1248393999978,767,99865.78487368116
