Data,Arquivo,Hora do dia,Tempo médio ponderado com chuva (min),Status de processamento,Width,Height,Bandas,CRS,Estatística Descritiva,Média,Mediana,Desvio Padrão,Valor Mínimo (m),Valor Máximo (m),Percentil 25,Percentil 50,Percentil 75
16/10/2013,h_24962400.tif,,,,,,,,,,,,,,,,
16/10/2013,h_24948000.tif,,,,,,,,,,,,,,,,
16/10/2013,h_24904800.tif,,,,,,,,,,,,,,,,
16/10/2013,h_24886800.tif,,,,,,,,,,,,,,,,
16/10/2013,h_24919200.tif,,,,,,,,,,,,,,,,
16/10/2013,h_24933600.tif,,,,,,,,,,,,,,,,
16/10/2013,h_24915600.tif,,,,,,,,,,,,,,,,
16/10/2013,h_24897600.tif,,,,,,,,,,,,,,,,
16/10/2013,h_24966000.tif,,,,,,,,,,,,,,,,
17/11/2013,h_27676800.tif,,,,,,,,,,,,,,,,
17/11/2013,h_27680400.tif,,,,,,,,,,,,,,,,
17/11/2013,h_27655200.tif,,,,,,,,,,,,,,,,
17/11/2013,h_27673200.tif,,,,,,,,,,,,,,,,
17/11/2013,h_27702000.tif,,,,,,,,,,,,,,,,
17/11/2013,h_27684000.tif,,,,,,,,,,,,,,,,
17/11/2013,h_27698400.tif,,,,,,,,,,,,,,,,
17/11/2013,h_27651600.tif,,,,,,,,,,,,,,,,
17/11/2013,h_27716400.tif,,,,,,,,,,,,,,,,
17/11/2013,h_27658800.tif,,,,,,,,,,,,,,,,
17/11/2013,h_27720000.tif,,,,,,,,,,,,,,,,
17/11/2013,h_27669600.tif,,,,,,,,,,,,,,,,
17/11/2013,h_27691200.tif,,,,,,,,,,,,,,,,
17/11/2013,h_27730800.tif,,,,,,,,,,,,,,,,
17/11/2013,h_27662400.tif,,,,,,,,,,,,,,,,
17/11/2013,h_27648000.tif,,,,,,,,,,,,,,,,
17/11/2013,h_27727200.tif,,,,,,,,,,,,,,,,
17/11/2013,h_27694800.tif,,,,,,,,,,,,,,,,
17/11/2013,h_27712800.tif,,,,,,,,,,,,,,,,
17/11/2013,h_27687600.tif,,,,,,,,,,,,,,,,
17/11/2013,h_27705600.tif,,,,,,,,,,,,,,,,
17/11/2013,h_27723600.tif,,,,,,,,,,,,,,,,
17/11/2013,h_27709200.tif,,,,,,,,,,,,,,,,
17/11/2013,h_27666000.tif,,,,,,,,,,,,,,,,
16/01/2013,h_1364400.tif,,,,,,,,,,,,,,,,
16/01/2013,h_1350000.tif,,,,,,,,,,,,,,,,
16/01/2013,h_1321200.tif,,,,,,,,,,,,,,,,
16/01/2013,h_1317600.tif,,,,,,,,,,,,,,,,
16/01/2013,h_1324800.tif,,,,,,,,,,,,,,,,
16/01/2013,h_1299600.tif,,,,,,,,,,,,,,,,
16/01/2013,h_1368000.tif,,,,,,,,,,,,,,,,
16/01/2013,h_1339200.tif,,,,,,,,,,,,,,,,
16/01/2013,h_1303200.tif,,,,,,,,,,,,,,,,
16/01/2013,h_1346400.tif,,,,,,,,,,,,,,,,
16/01/2013,h_1306800.tif,,,,,,,,,,,,,,,,
16/01/2013,h_1335600.tif,,,,,,,,,,,,,,,,
16/01/2013,h_1353600.tif,,,,,,,,,,,,,,,,
16/01/2013,h_1375200.tif,,,,,,,,,,,,,,,,
16/01/2013,h_1360800.tif,,,,,,,,,,,,,,,,
16/01/2013,h_1332000.tif,,,,,,,,,,,,,,,,
16/01/2013,h_1314000.tif,,,,,,,,,,,,,,,,
16/01/2013,h_1296000.tif,,,,,,,,,,,,,,,,
16/01/2013,h_1342800.tif,,,,,,,,,,,,,,,,
16/01/2013,h_1378800.tif,,,,,,,,,,,,,,,,
16/01/2013,h_1328400.tif,,,,,,,,,,,,,,,,
16/01/2013,h_1371600.tif,,,,,,,,,,,,,,,,
16/01/2013,h_1357200.tif,,,,,,,,,,,,,,,,
16/01/2013,h_1310400.tif,,,,,,,,,,,,,,,,
16/11/2013,h_27586800.tif,,,,,,,,,,,,,,,,
16/11/2013,h_27640800.tif,,,,,,,,,,,,,,,,
16/11/2013,h_27626400.tif,,,,,,,,,,,,,,,,
16/11/2013,h_27612000.tif,,,,,,,,,,,,,,,,
16/11/2013,h_27572400.tif,,,,,,,,,,,,,,,,
16/11/2013,h_27583200.tif,,,,,,,,,,,,,,,,
16/11/2013,h_27597600.tif,,,,,,,,,,,,,,,,
16/11/2013,h_27608400.tif,,,,,,,,,,,,,,,,
16/11/2013,h_27630000.tif,,,,,,,,,,,,,,,,
16/11/2013,h_27576000.tif,,,,,,,,,,,,,,,,
16/11/2013,h_27637200.tif,,,,,,,,,,,,,,,,
16/11/2013,h_27601200.tif,,,,,,,,,,,,,,,,
16/11/2013,h_27590400.tif,,,,,,,,,,,,,,,,
16/11/2013,h_27644400.tif,,,,,,,,,,,,,,,,
16/11/2013,h_27622800.tif,,,,,,,,,,,,,,,,
16/11/2013,h_27604800.tif,,,,,,,,,,,,,,,,
16/11/2013,h_27561600.tif,,,,,,,,,,,,,,,,
16/11/2013,h_27568800.tif,,,,,,,,,,,,,,,,
16/11/2013,h_27594000.tif,,,,,,,,,,,,,,,,
16/11/2013,h_27619200.tif,,,,,,,,,,,,,,,,
16/11/2013,h_27633600.tif,,,,,,,,,,,,,,,,
16/11/2013,h_27615600.tif,,,,,,,,,,,,,,,,
16/11/2013,h_27579600.tif,,,,,,,,,,,,,,,,
16/11/2013,h_27565200.tif,,,,,,,,,,,,,,,,
26/11/2013,h_28490400.tif,,,,,,,,,,,,,,,,
26/11/2013,h_28436400.tif,,,,,,,,,,,,,,,,
26/11/2013,h_28450800.tif,,,,,,,,,,,,,,,,
26/11/2013,h_28468800.tif,,,,,,,,,,,,,,,,
26/11/2013,h_28461600.tif,,,,,,,,,,,,,,,,
26/11/2013,h_28447200.tif,,,,,,,,,,,,,,,,
26/11/2013,h_28494000.tif,,,,,,,,,,,,,,,,
26/11/2013,h_28443600.tif,,,,,,,,,,,,,,,,
26/11/2013,h_28465200.tif,,,,,,,,,,,,,,,,
26/11/2013,h_28479600.tif,,,,,,,,,,,,,,,,
26/11/2013,h_28508400.tif,,,,,,,,,,,,,,,,
26/11/2013,h_28432800.tif,,,,,,,,,,,,,,,,
26/11/2013,h_28504800.tif,,,,,,,,,,,,,,,,
26/11/2013,h_28454400.tif,,,,,,,,,,,,,,,,
26/11/2013,h_28425600.tif,,,,,,,,,,,,,,,,
26/11/2013,h_28486800.tif,,,,,,,,,,,,,,,,
26/11/2013,h_28501200.tif,,,,,,,,,,,,,,,,
26/11/2013,h_28429200.tif,,,,,,,,,,,,,,,,
26/11/2013,h_28458000.tif,,,,,,,,,,,,,,,,
26/11/2013,h_28472400.tif,,,,,,,,,,,,,,,,
26/11/2013,h_28483200.tif,,,,,,,,,,,,,,,,
26/11/2013,h_28497600.tif,,,,,,,,,,,,,,,,
26/11/2013,h_28476000.tif,,,,,,,,,,,,,,,,
26/11/2013,h_28440000.tif,,,,,,,,,,,,,,,,
