,Unnamed: 0,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
796,796,2023-11-15,1,Sé,Inativo Transitável,19:32:00,21:07:00,MARGINAL TIETE CBAS CENTRAL, CASTELO B/A SENNA, PTE DAS BANDEIRAS SEN ROMEU TUMA
797,797,2023-11-15,1,Sé,Inativo Transitável,19:52:00,22:12:00,AV DO ESTADO, AMBOS, R S CAETANO (BOM RETIRO)
798,798,2023-11-15,1,Butantã,Inativo Intransitável,20:07:00,00:06:00,R NSRA.DO MONTE SERRAT, BAIRRO/CENTRO, R CAMINHO DO ENGENHO
799,799,2023-11-15,1,Butantã,Inativo Intransitável,21:10:00,22:30:00,AVENIDA PROFESSOR FRANCISCO MORATO, BAIRRO/CENTRO, ALTURA DO Nº 4600
800,800,2023-11-15,1,Lapa,Inativo Intransitável,19:41:00,20:00:00,AV POMPEIA, POMPEIA/MARGINAL, R PALESTRA ITALIA
801,801,2023-11-15,1,Mooca,Inativo Intransitável,19:52:00,23:37:00,AV ALCANTARA MACHADO, CENTRO/BAIRRO, R SILVA JARDIM
802,802,2023-11-15,1,Penha,Inativo Intransitável,20:25:00,02:06:00,R ATALEIA, AMBOS, R ERNESTO SILVA
803,803,2023-11-15,1,Penha,Inativo Intransitável,20:50:00,02:05:00,R PDE BENEDITO DE CAMARGO, BAIRRO/CENTRO, R UMBO
804,804,2023-11-15,1,Campo Limpo,Inativo Intransitável,20:21:00,21:07:00,AV ELLIS MAAS, AMBOS, AL JOSE LOPES DE ALMEIDA
805,805,2023-11-15,1,M'Boi Mirim,Inativo Transitável,20:22:00,05:45:00,ES M'BOI MIRIM, BAIRRO/CENTRO, R DANIEL KLEIN
806,806,2023-11-19,1,Santana,Inativo Transitável,12:45:00,14:58:00,MARGINAL TIETE, A SENNA/CASTELO B - CENTRAL, PTE PRES JANIO QUADROS
807,807,2023-11-19,1,Butantã,Inativo Transitável,06:03:00,11:19:00,AV ALCIDES SANGIRARDI, CASTELO/INTERLAGOS, MARGINAL PINHEIROS CBINT
808,808,2023-11-19,1,Pinheiros,Inativo Transitável,16:14:00,17:19:00,AV CIDADE JARDIM, UNICO, R BRIG HAROLDO VELOSO
809,809,2023-11-19,1,Pinheiros,Inativo Intransitável,16:21:00,07:59:00,R JACURICI, UNICO, R BRIG HAROLDO VELOSO
810,810,2023-11-19,1,Pinheiros,Inativo Intransitável,22:27:00,04:26:00,R BRIG HAROLDO VELOSO, UNICO, AV CIDADE JARDIM
811,811,2023-11-19,1,M'Boi Mirim,Inativo Transitável,01:54:00,02:06:00,ES M'BOI MIRIM, BAIRRO/CENTRO, R DANIEL KLEIN
812,812,2023-11-19,1,Santo Amaro,Inativo Intransitável,02:37:00,10:23:00,AV DAS NACOES UNIDAS, INTERLAGOS/CASTELO, R GURIU
813,813,2023-11-23,1,Freguesia do Ó,Inativo Transitável,07:46:00,08:21:00,AV OTAVIANO ALVES DE LIMA, A SENNA/CASTELO B - LOCAL, PTE FREGUESIA DO O P N RODRIGUES
814,814,2023-11-23,1,Capela do Socorro,Inativo Transitável,08:16:00,08:24:00,AV DONA BELMIRA MARIN, CENTRO/BAIRRO, ALTURA DO N. 3411
815,815,2023-11-23,1,M'Boi Mirim,Inativo Transitável,07:46:00,08:52:00,AV JOAO DIAS, BAIRRO/CENTRO, ALTURA DO N. 3579
816,816,2023-11-23,1,M'Boi Mirim,Inativo Transitável,07:47:00,09:07:00,:47 a 09:07ES M'BOI MIRIM, BAIRRO/CENTRO, R DANIEL KLEIN
817,817,2023-11-23,1,M'Boi Mirim,Inativo Transitável,08:40:00,08:48:00,ES M'BOI MIRIM, BAIRRO/CENTRO, ALTURA DO N. 1725
818,818,2023-11-23,1,Santo Amaro,Inativo Transitável,07:56:00,08:45:00,AV STO AMARO, AMBOS, AV ROQUE PETRONI JUNIOR
819,819,2023-11-23,1,Santo Amaro,Inativo Transitável,08:22:00,08:45:00,R JOAO ALFREDO, AMBOS, AL STO AMARO
820,820,2023-11-23,1,Santo Amaro,Inativo Transitável,08:22:00,13:06:00,AV DAS NACOES UNIDAS, INTERLAGOS/CASTELO, AV OCTALLES MARCONDES FERREIRA
821,821,2023-11-23,1,Vila Mariana,Inativo Transitável,07:37:00,08:28:00,AV IBIRAPUERA, BAIRRO/CENTRO, AV INDIANOPOLIS
822,822,2023-11-23,1,Vila Mariana,Inativo Transitável,07:39:00,08:29:00,AV IBIRAPUERA, BAIRRO/CENTRO, AV MACUCO
